Key,Source,Context,Changes,English,French,German,Klingon,Spanish
txName_Texture136,painting,txGroupFaux,New,"Supplies Crate - Meat",,,,
txName_Texture137,painting,txGroupFaux,New,"Supplies Crate - Archery",,,,
txName_Texture139,painting,txGroupFaux,New,"Supplies Crate - Fruit and Vege",,,,
txName_Texture141,painting,txGroupFaux,New,"Roof - Grey - Tile - Sectional",,,,
txName_Texture142,painting,txGroupFaux,New,"Drywall - Tan - Wooden Trim",,,,
txName_Texture143,painting,txGroupFaux,New,"Drywall - Tan - Wooden Trim",,,,
txName_Texture144,painting,txGroupFaux,New,"Awning - Blue",,,,
txName_Texture145,painting,txGroupFaux,New,"Timber - Painted - Trim - Old",,,,
txName_Texture146,painting,txGroupFaux,New,"Metal - Blue-Grey - Blotchy",,,,
txName_Texture148,painting,txGroupFaux,New,"Brick and Stone - Limestone - White",,,,
txName_Texture149,painting,txGroupFaux,New,"Longboard - Silver",,,,
txName_Texture150,painting,txGroupFaux,New,"Metal - Rusty",,,,
txName_Texture151,painting,txGroupFaux,New,"Organic - Thatch - Wall - Wooden Trim",,,,
txName_Texture152,painting,txGroupFaux,New,"Panel - Metal - Rusty",,,,
txName_Texture153,painting,txGroupFaux,New,"Timber - Plywood",,,,
txName_Texture154,painting,txGroupFaux,New,"Modern - Grey",,,,
txName_Texture156,painting,txGroupFaux,New,"Brick and Stone - Large - Grey",,,,
txName_Texture157,painting,txGroupFaux,New,"Awning - White",,,,
txName_Texture158,painting,txGroupFaux,New,"Awning - Yellow",,,,
txName_Texture159,painting,txGroupFaux,New,"Awning - Dark Blue",,,,
txName_Texture160,painting,txGroupFaux,New,"Awning - Brown",,,,
txName_Texture161,painting,txGroupFaux,New,"Awning - Orange",,,,
txName_Texture162,painting,txGroupFaux,New,"Awning - Bright Red",,,,
txName_Texture163,painting,txGroupFaux,New,"Awning - Dark Red",,,,
txName_Texture164,painting,txGroupFaux,New,"Awning - Pink",,,,
txName_Texture165,painting,txGroupFaux,New,"Awning - Purple",,,,
txName_Texture166,painting,txGroupFaux,New,"Awning - Green",,,,
txName_Texture167,painting,txGroupFaux,New,"Awning - Grey",,,,
txName_Texture168,painting,txGroupFaux,New,"Awning - Dark Grey",,,,
txName_Texture169,painting,txGroupFaux,New,"Organic - Thatch - Wooden Trim",,,,
txName_Texture170,painting,txGroupFaux,New,"Roof - Shingles - Wooden - Large",,,,
txName_Texture171,painting,txGroupFaux,New,"Brick and Stone - Very Large - Grey",,,,
txName_Texture172,painting,txGroupFaux,New,"Brick and Stone - Granite - Black",,,,
txName_Texture173,painting,txGroupFaux,New,"Panel - Marble - Grey",,,,
txName_Texture175,painting,txGroupFaux,New,"Longboard - Timber - Old",,,,
txName_Texture176,painting,txGroupFaux,New,"Metal - Rusty",,,,
txName_Texture177,painting,txGroupFaux,New,"Supply Crate - Unmarked",,,,
txName_Texture178,painting,txGroupFaux,New,"zUtil T",,,,
txName_Texture179,painting,txGroupFaux,New,"zUtil B",,,,
txName_Texture180,painting,txGroupFaux,New,"zUtil N",,,,
txName_Texture181,painting,txGroupFaux,New,"zUtil S",,,,
txName_Texture182,painting,txGroupFaux,New,"zUtil E",,,,
txName_Texture183,painting,txGroupFaux,New,"zUtil W",,,,
txName_Texture184,painting,txGroupFaux,New,"Panel - White - Modern",,,,
